"RSN","WARD","WARDNAME","YEAR.BUILT","PROPERTY.TYPE","CONFIRMED.STOREYS","CONFIRMED.UNITS","CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE.CODE"
4154988,"12","Toronto-St. Paul's",1926,"PRIVATE",4,52,80,1
4154989,"12","Toronto-St. Paul's",1934,"PRIVATE",4,24,93,1
4154986,"12","Toronto-St. Paul's",1952,"PRIVATE",5,79,91,1
4154996,"12","Toronto-St. Paul's",1940,"PRIVATE",3,33,96,1
4155022,"12","Toronto-St. Paul's",1957,"PRIVATE",7,97,88,1
4155035,"12","Toronto-St. Paul's",1955,"PRIVATE",4,45,84,1
4155024,"12","Toronto-St. Paul's",1957,"PRIVATE",4,23,84,1
4155029,"12","Toronto-St. Paul's",1977,"PRIVATE",4,38,86,1
4155030,"12","Toronto-St. Paul's",1966,"PRIVATE",8,106,75,1
5371451,"12","Toronto-St. Paul's",1990,"SOCIAL HOUSING",16,210,79,2
4153406,"10","Spadina-Fort York",1993,"TCHC",3,20,71,3
4153928,"12","Toronto-St. Paul's",1957,"PRIVATE",17,157,92,1
4153929,"12","Toronto-St. Paul's",1957,"PRIVATE",17,157,92,1
4153930,"12","Toronto-St. Paul's",1957,"PRIVATE",17,173,93,1
4153931,"12","Toronto-St. Paul's",1957,"PRIVATE",18,235,92,1
4153932,"12","Toronto-St. Paul's",1957,"PRIVATE",17,235,95,1
4155034,"12","Toronto-St. Paul's",1965,"PRIVATE",10,129,83,1
4153419,"11","University-Rosedale",1979,"TCHC",5,189,90,3
4155900,"11","University-Rosedale",1895,"PRIVATE",4,11,69,1
4153939,"12","Toronto-St. Paul's",1955,"PRIVATE",3,32,96,1
4153171,"11","University-Rosedale",1904,"PRIVATE",4,32,85,1
4153464,"11","University-Rosedale",1932,"PRIVATE",3,10,79,1
4153465,"11","University-Rosedale",1907,"PRIVATE",3,11,65,1
4153172,"11","University-Rosedale",1911,"PRIVATE",4,21,95,1
4153628,"14","Toronto-Danforth",1988,"SOCIAL HOUSING",5,77,99,2
4288772,"14","Toronto-Danforth",1996,"SOCIAL HOUSING",5,60,88,2
4153646,"14","Toronto-Danforth",1981,"TCHC",8,139,94,3
4273905,"14","Toronto-Danforth",1930,"PRIVATE",3,17,92,1
4153650,"14","Toronto-Danforth",1990,"PRIVATE",3,15,54,1
4153621,"14","Toronto-Danforth",1995,"SOCIAL HOUSING",3,17,83,2
4155604,"13","Toronto Centre",1961,"TCHC",6,25,81,3
4575691,"13","Toronto Centre",2018,"PRIVATE",51,503,100,1
4153138,"10","Spadina-Fort York",1989,"SOCIAL HOUSING",9,200,76,2
4155840,"11","University-Rosedale",1966,"SOCIAL HOUSING",3,32,88,2
4250622,"11","University-Rosedale",1913,"PRIVATE",3,22,87,1
4153196,"11","University-Rosedale",1900,"PRIVATE",3,16,66,1
4153730,"11","University-Rosedale",1954,"PRIVATE",7,39,88,1
4155600,"13","Toronto Centre",1973,"TCHC",16,301,92,3
4155809,"13","Toronto Centre",1975,"PRIVATE",17,371,99,1
4153434,"13","Toronto Centre",1978,"TCHC",7,174,83,3
4156107,"13","Toronto Centre",1975,"PRIVATE",23,225,80,1
4233261,"13","Toronto Centre",2017,"PRIVATE",37,337,90,1
4153568,"13","Toronto Centre",1992,"SOCIAL HOUSING",6,16,97,2
4250288,"13","Toronto Centre",1989,"SOCIAL HOUSING",3,10,79,2
5258798,"13","Toronto Centre",1888,"PRIVATE",3,17,90,1
4153601,"13","Toronto Centre",1969,"PRIVATE",22,568,99,1
4153600,"13","Toronto Centre",1964,"PRIVATE",15,239,82,1
4153231,"11","University-Rosedale",1972,"SOCIAL HOUSING",7,96,81,2
4155591,"09","Davenport",1968,"TCHC",17,352,79,3
4479218,"13","Toronto Centre",1951,"PRIVATE",3,12,77,1
4153448,"13","Toronto Centre",1990,"SOCIAL HOUSING",3,15,76,2
4153435,"13","Toronto Centre",1896,"PRIVATE",4,16,82,1
4288743,"13","Toronto Centre",1930,"PRIVATE",3,15,88,1
4153446,"13","Toronto Centre",1920,"PRIVATE",4,11,89,1
4153436,"13","Toronto Centre",1885,"PRIVATE",3,19,89,1
4153445,"13","Toronto Centre",1973,"PRIVATE",11,102,88,1
5156142,"13","Toronto Centre",1889,"PRIVATE",4,20,82,1
4155593,"11","University-Rosedale",1964,"TCHC",3,54,83,3
4153775,"12","Toronto-St. Paul's",1930,"PRIVATE",3,26,77,1
4153569,"13","Toronto Centre",1988,"SOCIAL HOUSING",6,60,86,2
4153573,"13","Toronto Centre",1975,"TCHC",7,200,91,3
4153442,"13","Toronto Centre",1955,"PRIVATE",4,23,97,1
4156374,"13","Toronto Centre",1975,"TCHC",4,102,74,3
4153441,"13","Toronto Centre",1809,"PRIVATE",4,10,85,1
4153440,"13","Toronto Centre",1838,"PRIVATE",3,12,89,1
4153439,"13","Toronto Centre",1974,"PRIVATE",13,121,77,1
4153583,"13","Toronto Centre",1931,"PRIVATE",4,38,87,1
4153584,"13","Toronto Centre",1960,"PRIVATE",7,67,100,1
5364546,"13","Toronto Centre",1910,"PRIVATE",3,10,80,1
4153587,"13","Toronto Centre",1910,"PRIVATE",3,32,79,1
4153588,"13","Toronto Centre",1920,"PRIVATE",4,48,92,1
4153472,"13","Toronto Centre",1963,"PRIVATE",10,128,81,1
5373697,"13","Toronto Centre",1876,"SOCIAL HOUSING",3,26,78,2
4153589,"13","Toronto Centre",1934,"PRIVATE",4,48,100,1
4153590,"13","Toronto Centre",1934,"PRIVATE",4,48,89,1
4155931,"13","Toronto Centre",2008,"SOCIAL HOUSING",11,112,79,2
4153523,"13","Toronto Centre",1967,"PRIVATE",14,95,98,1
4333368,"13","Toronto Centre",1977,"PRIVATE",30,300,90,1
4333382,"13","Toronto Centre",1978,"PRIVATE",30,292,97,1
4333386,"13","Toronto Centre",2018,"PRIVATE",43,369,98,1
4333391,"13","Toronto Centre",1978,"PRIVATE",30,514,82,1
4153739,"11","University-Rosedale",1950,"PRIVATE",4,34,87,1
4153077,"09","Davenport",1966,"PRIVATE",7,68,90,1
4221280,"11","University-Rosedale",1965,"PRIVATE",18,131,91,1
4153173,"11","University-Rosedale",1965,"PRIVATE",7,63,100,1
4153174,"11","University-Rosedale",1970,"PRIVATE",10,78,83,1
4153181,"11","University-Rosedale",1960,"PRIVATE",8,71,83,1
4153175,"11","University-Rosedale",1955,"PRIVATE",4,38,80,1
4153180,"11","University-Rosedale",1960,"PRIVATE",3,40,74,1
4153179,"11","University-Rosedale",1971,"PRIVATE",10,61,87,1
4153189,"11","University-Rosedale",1966,"PRIVATE",15,174,83,1
4153188,"11","University-Rosedale",1961,"PRIVATE",4,33,74,1
4153187,"11","University-Rosedale",1960,"PRIVATE",13,85,85,1
4153186,"11","University-Rosedale",1958,"PRIVATE",4,35,84,1
4221313,"11","University-Rosedale",1920,"PRIVATE",4,10,73,1
4154930,"12","Toronto-St. Paul's",1964,"PRIVATE",25,547,90,1
4154929,"12","Toronto-St. Paul's",1960,"PRIVATE",15,171,89,1
4153919,"12","Toronto-St. Paul's",1928,"PRIVATE",4,15,96,1
4153372,"12","Toronto-St. Paul's",1965,"PRIVATE",7,49,93,1
4153888,"12","Toronto-St. Paul's",1963,"PRIVATE",5,79,87,1
4153916,"12","Toronto-St. Paul's",1927,"PRIVATE",3,19,82,1
4153915,"12","Toronto-St. Paul's",1915,"PRIVATE",3,20,89,1
4153922,"12","Toronto-St. Paul's",1929,"PRIVATE",4,12,87,1
4153920,"12","Toronto-St. Paul's",1930,"PRIVATE",3,24,85,1
4153923,"12","Toronto-St. Paul's",1959,"PRIVATE",10,87,95,1
4153924,"12","Toronto-St. Paul's",1965,"PRIVATE",7,60,90,1
4153925,"12","Toronto-St. Paul's",1934,"PRIVATE",5,46,91,1
4250636,"12","Toronto-St. Paul's",1957,"PRIVATE",13,152,89,1
4153926,"12","Toronto-St. Paul's",1962,"PRIVATE",12,122,93,1
4153921,"12","Toronto-St. Paul's",1955,"PRIVATE",4,42,97,1
4153927,"12","Toronto-St. Paul's",1960,"PRIVATE",9,48,93,1
4153416,"11","University-Rosedale",1960,"SOCIAL HOUSING",6,77,86,2
4155609,"14","Toronto-Danforth",1970,"TCHC",3,34,85,3
4155756,"12","Toronto-St. Paul's",1927,"PRIVATE",3,11,58,1
4154973,"12","Toronto-St. Paul's",1925,"PRIVATE",3,11,54,1
4153746,"12","Toronto-St. Paul's",1969,"PRIVATE",32,163,92,1
4284996,"12","Toronto-St. Paul's",1969,"PRIVATE",32,163,92,1
4153375,"12","Toronto-St. Paul's",1959,"PRIVATE",10,59,87,1
4153377,"10","Spadina-Fort York",2005,"PRIVATE",10,232,92,1
4153380,"10","Spadina-Fort York",1991,"SOCIAL HOUSING",4,46,85,2
4153207,"11","University-Rosedale",1968,"PRIVATE",23,193,83,1
4153213,"11","University-Rosedale",1968,"PRIVATE",19,149,85,1
4153560,"13","Toronto Centre",1994,"SOCIAL HOUSING",10,82,81,2
4153592,"13","Toronto Centre",1910,"PRIVATE",4,15,68,1
4153395,"13","Toronto Centre",1900,"SOCIAL HOUSING",7,76,88,2
4153566,"13","Toronto Centre",1984,"TCHC",6,44,98,3
4153552,"14","Toronto-Danforth",1988,"SOCIAL HOUSING",3,36,85,2
4153431,"13","Toronto Centre",1983,"SOCIAL HOUSING",10,77,92,2
4155601,"13","Toronto Centre",1964,"TCHC",16,299,93,3
4156181,"13","Toronto Centre",1964,"TCHC",15,300,80,3
4156250,"13","Toronto Centre",1964,"TCHC",16,300,84,3
4153397,"10","Spadina-Fort York",1991,"TCHC",12,53,93,3
5348106,"10","Spadina-Fort York",2021,"PRIVATE",26,440,100,1
5175953,"10","Spadina-Fort York",2022,"PRIVATE",36,286,100,1
4915028,"11","University-Rosedale",2021,"PRIVATE",16,166,99,1
4153467,"11","University-Rosedale",1971,"PRIVATE",24,334,94,1
4153468,"11","University-Rosedale",1959,"PRIVATE",7,62,85,1
4153176,"11","University-Rosedale",1972,"SOCIAL HOUSING",6,103,97,2
4155858,"11","University-Rosedale",1905,"PRIVATE",4,24,77,1
4153488,"13","Toronto Centre",1979,"PRIVATE",9,47,95,1
4153513,"13","Toronto Centre",1929,"PRIVATE",5,60,68,1
4153496,"13","Toronto Centre",1926,"PRIVATE",4,30,89,1
4153510,"13","Toronto Centre",1963,"PRIVATE",12,76,94,1
4153497,"13","Toronto Centre",1965,"PRIVATE",8,88,79,1
4153553,"14","Toronto-Danforth",1987,"SOCIAL HOUSING",4,15,94,2
4156548,"12","Toronto-St. Paul's",2010,"PRIVATE",10,141,95,1
4155730,"09","Davenport",2010,"PRIVATE",14,291,89,1
4155710,"09","Davenport",2005,"PRIVATE",9,116,90,1
4153630,"14","Toronto-Danforth",1927,"PRIVATE",4,21,90,1
4288768,"14","Toronto-Danforth",1967,"SOCIAL HOUSING",22,159,87,2
5207679,"12","Toronto-St. Paul's",2022,"PRIVATE",20,177,100,1
4153901,"12","Toronto-St. Paul's",1927,"PRIVATE",4,15,88,1
4153908,"12","Toronto-St. Paul's",1925,"PRIVATE",4,14,88,1
4153902,"12","Toronto-St. Paul's",1927,"PRIVATE",4,19,91,1
4153903,"12","Toronto-St. Paul's",1923,"PRIVATE",4,10,92,1
4153904,"12","Toronto-St. Paul's",1923,"PRIVATE",4,32,75,1
4153907,"12","Toronto-St. Paul's",1920,"PRIVATE",5,12,88,1
4153906,"12","Toronto-St. Paul's",1930,"PRIVATE",4,20,100,1
4153900,"12","Toronto-St. Paul's",1957,"PRIVATE",6,36,91,1
4153894,"12","Toronto-St. Paul's",1970,"PRIVATE",6,55,89,1
4153632,"14","Toronto-Danforth",1993,"TCHC",4,51,74,3
4153633,"14","Toronto-Danforth",1993,"SOCIAL HOUSING",5,177,94,2
4153626,"14","Toronto-Danforth",1995,"TCHC",5,40,92,3
4153623,"14","Toronto-Danforth",1988,"SOCIAL HOUSING",4,34,90,2
4153637,"14","Toronto-Danforth",1990,"SOCIAL HOUSING",4,25,67,2
5365992,"14","Toronto-Danforth",1948,"PRIVATE",3,31,84,1
4255628,"11","University-Rosedale",2007,"PRIVATE",8,55,92,1
4153217,"11","University-Rosedale",1957,"PRIVATE",10,57,78,1
4153190,"11","University-Rosedale",1965,"PRIVATE",11,75,87,1
4153192,"11","University-Rosedale",1963,"PRIVATE",11,157,92,1
4155901,"11","University-Rosedale",2009,"PRIVATE",5,91,89,1
4167462,"11","University-Rosedale",1969,"PRIVATE",23,216,84,1
4155731,"12","Toronto-St. Paul's",1967,"PRIVATE",22,141,95,1
4153895,"12","Toronto-St. Paul's",1931,"PRIVATE",4,31,80,1
4153899,"12","Toronto-St. Paul's",1935,"PRIVATE",4,32,85,1
4153898,"12","Toronto-St. Paul's",1929,"PRIVATE",4,24,78,1
4218633,"12","Toronto-St. Paul's",1967,"PRIVATE",20,185,97,1
4153750,"12","Toronto-St. Paul's",1970,"PRIVATE",27,307,89,1
4153751,"11","University-Rosedale",1955,"PRIVATE",4,36,42,1
4153509,"13","Toronto Centre",1960,"PRIVATE",8,71,91,1
4153498,"13","Toronto Centre",1960,"PRIVATE",7,61,93,1
4153508,"13","Toronto Centre",1968,"PRIVATE",28,427,89,1
4153505,"13","Toronto Centre",1931,"PRIVATE",6,48,89,1
4153504,"13","Toronto Centre",1928,"PRIVATE",3,26,96,1
5156182,"13","Toronto Centre",1928,"PRIVATE",3,32,99,1
5156157,"13","Toronto Centre",1928,"PRIVATE",3,34,91,1
4153471,"13","Toronto Centre",1966,"PRIVATE",18,118,91,1
4155605,"13","Toronto Centre",1970,"TCHC",29,719,81,3
4153597,"13","Toronto Centre",1923,"PRIVATE",3,38,98,1
4153596,"13","Toronto Centre",1963,"PRIVATE",7,69,88,1
4240826,"13","Toronto Centre",1968,"PRIVATE",29,554,79,1
4240827,"13","Toronto Centre",1968,"PRIVATE",32,565,96,1
4155952,"13","Toronto Centre",1969,"PRIVATE",32,571,88,1
5346159,"10","Spadina-Fort York",2023,"PRIVATE",13,171,99,1
5353316,"10","Spadina-Fort York",2023,"PRIVATE",13,160,98,1
4155014,"09","Davenport",1952,"PRIVATE",3,29,71,1
4155015,"09","Davenport",1952,"PRIVATE",3,29,70,1
4155016,"09","Davenport",1952,"PRIVATE",3,29,75,1
4155019,"09","Davenport",1950,"PRIVATE",3,29,75,1
4155017,"09","Davenport",1953,"PRIVATE",3,30,88,1
4156711,"10","Spadina-Fort York",2013,"PRIVATE",8,179,91,1
4156712,"13","Toronto Centre",2014,"TCHC",8,128,85,3
4153212,"11","University-Rosedale",1955,"PRIVATE",8,44,86,1
5392310,"11","University-Rosedale",1930,"PRIVATE",3,17,88,1
4408585,"11","University-Rosedale",1948,"PRIVATE",3,26,78,1
4153215,"11","University-Rosedale",1989,"TCHC",4,12,97,3
5033221,"11","University-Rosedale",1890,"PRIVATE",3,11,77,1
4793995,"11","University-Rosedale",1896,"PRIVATE",4,12,85,1
4153218,"11","University-Rosedale",1907,"PRIVATE",3,17,90,1
5186997,"12","Toronto-St. Paul's",2019,"PRIVATE",6,82,99,1
4153487,"13","Toronto Centre",1923,"PRIVATE",3,37,99,1
4332678,"13","Toronto Centre",1920,"PRIVATE",4,27,97,1
4153495,"13","Toronto Centre",1909,"PRIVATE",4,27,97,1
4155681,"10","Spadina-Fort York",1996,"SOCIAL HOUSING",3,22,81,2
4153146,"09","Davenport",1915,"PRIVATE",3,25,45,1
4153376,"10","Spadina-Fort York",1987,"PRIVATE",19,228,99,1
4153357,"12","Toronto-St. Paul's",1930,"PRIVATE",7,34,94,1
4153874,"12","Toronto-St. Paul's",1937,"PRIVATE",6,97,77,1
4169264,"12","Toronto-St. Paul's",1926,"PRIVATE",4,25,92,1
4153882,"12","Toronto-St. Paul's",1938,"PRIVATE",9,54,79,1
4153889,"12","Toronto-St. Paul's",1970,"PRIVATE",4,45,92,1
