"RSN","WARD","WARDNAME","YEAR.BUILT","PROPERTY.TYPE","CONFIRMED.STOREYS","CONFIRMED.UNITS","CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE.CODE"
4153768,"12","Toronto-St. Paul's",1970,"PRIVATE",24,371,96,1
4153769,"12","Toronto-St. Paul's",1970,"PRIVATE",20,313,96,1
4153771,"12","Toronto-St. Paul's",1969,"PRIVATE",25,401,92,1
4153774,"12","Toronto-St. Paul's",1928,"PRIVATE",3,31,86,1
4153881,"12","Toronto-St. Paul's",1967,"PRIVATE",13,59,89,1
4153873,"12","Toronto-St. Paul's",1965,"PRIVATE",17,95,98,1
4153880,"12","Toronto-St. Paul's",1970,"PRIVATE",4,13,94,1
4253010,"09","Davenport",2007,"SOCIAL HOUSING",3,14,77,2
4153095,"09","Davenport",1930,"PRIVATE",4,16,87,1
4153875,"12","Toronto-St. Paul's",1969,"PRIVATE",10,100,96,1
4153876,"12","Toronto-St. Paul's",1964,"PRIVATE",12,180,92,1
4153660,"14","Toronto-Danforth",1930,"PRIVATE",4,24,79,1
4153661,"14","Toronto-Danforth",1985,"SOCIAL HOUSING",5,53,94,2
4154086,"14","Toronto-Danforth",1986,"TCHC",8,254,94,3
4154085,"14","Toronto-Danforth",2012,"SOCIAL HOUSING",8,44,97,2
4250641,"14","Toronto-Danforth",1949,"PRIVATE",3,36,97,1
4153093,"09","Davenport",1995,"SOCIAL HOUSING",8,134,96,2
4153147,"10","Spadina-Fort York",1912,"PRIVATE",3,16,89,1
4327919,"09","Davenport",1960,"PRIVATE",3,18,70,1
4327922,"09","Davenport",1924,"PRIVATE",3,20,65,1
4153152,"09","Davenport",1930,"PRIVATE",3,13,63,1
5368564,"09","Davenport",1940,"PRIVATE",3,11,41,1
4153166,"09","Davenport",1967,"PRIVATE",20,356,93,1
4153094,"09","Davenport",2008,"PRIVATE",3,19,91,1
4155071,"09","Davenport",1960,"PRIVATE",3,29,75,1
